beam_current,voltage,heater_current
0.000,0.00,0.00
0.000,0.00,0.00
0.000,0.00,0.00
0.000,1.04,0.00
0.000,0.00,0.00
0.000,,
0.250,0.80,6.10
2.400,0.81,6.10
2.958,0.80,6.08
4.119,0.81,6.08
4.222,0.81,6.07
4.203,0.80,6.06
4.500,0.80,6.05
4.620,0.80,6.04
4.724,0.81,6.01
4.243,0.81,6.00
4.500,,6.01
4.538,,6.02
4.736,0.81,6.03
,,6.04
5.111,,6.03
5.100,,6.02
5.101,,6.01
5.108,,6.00
5.100,,5.99
5.110,,5.98
5.102,,5.97
5.109,0.80,5.96
5.105,0.80,5.95
5.106,0.80,5.94
4.929,0.81,5.94
4.984,0.80,5.94
4.972,0.82,5.94
4.993,0.81,5.94
5.001,0.82,5.94
5.065,0.82,5.94
5.110,0.81,5.93
4.945,0.80,5.93
4.933,0.80,5.93
4.917,0.81,5.93
4.881,0.81,5.93
4.924,0.81,5.93
4.899,0.82,5.93
4.911,0.80,5.93
4.909,0.81,5.93
4.814,0.80,5.92
4.651,0.81,5.91
4.604,0.81,5.90
4.512,,
4.461,,
4.435,0.81,5.89
4.432,,
4.293,,
4.285,0.81,5.88
4.162,,
4.033,0.81,5.87
3.859,0.81,5.86
3.733,0.81,5.85
3.557,0.79,5.84
3.417,0.79,5.83
3.272,0.78,5.82
3.126,0.79,5.81
2.984,0.78,5.80
2.856,0.79,5.79
2.724,0.78,5.78
2.607,0.77,5.77
2.487,0.80,5.76
2.395,0.80,5.75
2.275,0.79,5.74
2.176,0.79,5.73
2.093,0.79,5.72
1.986,0.75,5.71
1.914,0.75,5.70
1.825,0.76,5.69
1.730,0.76,5.68
1.645,0.75,5.67
1.576,0.74,5.66
1.508,0.73,5.65
1.445,0.73,5.64
1.366,0.74,5.63
1.306,0.73,5.62
1.254,0.74,5.61
1.193,0.73,5.60
1.104,0.73,5.59
1.055,0.74,5.58
0.997,0.74,5.57
0.961,0.74,5.56
0.913,0.74,5.55
0.882,0.73,5.54
0.844,0.73,5.53
0.803,0.72,5.52
0.776,0.72,5.51
0.738,0.72,5.50
0.703,0.72,5.49
0.663,0.72,5.48
0.634,0.72,5.47
0.606,0.72,5.46
0.580,0.72,5.45
0.547,0.72,5.44
0.522,0.71,5.43
0.498,0.69,5.42
0.479,0.68,5.41
0.455,0.68,5.40
0.430,0.68,5.39
0.411,0.68,5.38
0.392,0.68,5.37
0.370,0.68,5.36
0.354,0.68,5.35
0.337,0.68,5.34
0.322,0.68,5.33
0.302,0.68,5.32
0.286,0.68,5.31
0.269,0.68,5.30
0.256,0.68,5.29
0.244,0.68,5.28
0.231,0.67,5.27
0.222,0.68,5.26
0.206,0.67,5.25
0.195,0.67,5.24
0.184,0.67,5.23
0.174,0.67,5.22
0.164,0.67,5.21
0.155,0.67,5.20
0.145,0.67,5.19
0.138,0.67,5.18
0.130,0.67,5.17
0.122,0.67,5.16
0.115,0.66,5.15
0.104,0.66,5.14
0.096,0.66,5.13
0.010,0.59,4.88
0.000,0.58,4.76
,,
4.022,0.82,5.93
,,
1.230,0.73,5.57
1.213,,5.57
1.202,,5.57
1.190,,5.57
1.176,,5.57
1.156,,5.57
1.147,,5.57
,,
0.050,0.60,4.88
0.034,0.60,4.88
0.026,0.60,4.88
0.023,0.60,4.88
0.020,0.60,4.88
0.017,0.60,4.88
0.016,0.60,4.88
,,
0.001,0.59,4.76
0.000,,
,0.00,0.00
,,
0.000,,
,,
0.275,,
2.784,,
3.000,,
,,
3.199,,
3.206,,
,,
3.306,,
,,
3.242,,
,,
3.169,,
3.186,,
3.196,,
,,
3.140,,
3.190,,
3.177,,
,,
1.500,,
1.727,,
,,
2.702,,
3.225,,
3.400,,
3.766,,
,,
4.152,,
4.377,,
,,
4.000,,
4.136,,
,,
1.055,,
1.017,,
1.021,,
,,
0.101,,
0.000,,
0.073,,
0.922,,
4.730,,
,,
0.000,,
2.500,,
0.922,,
1.209,,
1.009,,
1.015,,
,,
0.979,,
1.002,,
,,
0.100,,
0.000,,
,,
3.585,0.81,5.93
3.566,,
3.609,,
,,
3.779,,
,,
3.758,,
,,
3.860,,
,,
,,
0.000,0.51,4.50
,,
4.120,0.81,5.93
,,
4.300,0.81,5.93
,,
4.225,0.81,5.93
4.350,,
4.530,0.80,5.93
4.580,,
4.510,,
4.540,,
4.718,,
4.730,,
4.667,,
4.764,,
4.770,,
4.697,,
,,
4.760,,
4.785,,
4.881,,
4.920,,
5.003,,
