beam_current,voltage,heater_current
1.325,0.81,6.10
3.538,0.81,6.08
4.222,0.81,6.07
4.203,0.80,6.06
4.500,0.80,6.05
4.620,0.80,6.04
4.775,0.81,6.01
4.675,0.81,6.00
4.819,0.81,6.02
4.923,0.81,6.03
5.100,0.81,5.99
5.110,0.81,5.98
5.102,0.80,5.97
5.109,0.80,5.96
5.105,0.80,5.95
5.007,0.81,5.94
4.937,0.81,5.93
4.814,0.80,5.92
4.651,0.81,5.91
4.604,0.81,5.90
4.435,0.81,5.89
4.285,0.81,5.88
4.033,0.81,5.87
3.859,0.81,5.86
3.733,0.81,5.85
3.557,0.79,5.84
3.417,0.79,5.83
3.272,0.78,5.82
3.126,0.79,5.81
2.984,0.78,5.80
2.856,0.79,5.79
2.724,0.78,5.78
2.607,0.77,5.77
2.487,0.80,5.76
2.395,0.80,5.75
2.275,0.79,5.74
2.176,0.79,5.73
2.093,0.79,5.72
1.986,0.75,5.71
1.914,0.75,5.70
1.825,0.76,5.69
1.730,0.76,5.68
1.645,0.75,5.67
1.576,0.74,5.66
1.508,0.73,5.65
1.445,0.73,5.64
1.366,0.74,5.63
1.306,0.73,5.62
1.254,0.74,5.61
1.193,0.73,5.60
1.104,0.73,5.59
1.055,0.74,5.58
0.997,0.74,5.57
0.961,0.74,5.56
0.913,0.74,5.55
0.882,0.73,5.54
0.844,0.73,5.53
0.803,0.72,5.52
0.776,0.72,5.51
0.738,0.72,5.50
0.703,0.72,5.49
0.663,0.72,5.48
0.634,0.72,5.47
0.606,0.72,5.46
0.580,0.72,5.45
0.547,0.72,5.44
0.522,0.71,5.43
0.498,0.69,5.42
0.479,0.68,5.41
0.455,0.68,5.40
0.430,0.68,5.39
0.411,0.68,5.38
0.392,0.68,5.37
0.370,0.68,5.36
0.354,0.68,5.35
0.337,0.68,5.34
0.322,0.68,5.33
0.302,0.68,5.32
0.286,0.68,5.31
0.269,0.68,5.30
0.256,0.68,5.29
0.244,0.68,5.28
0.231,0.67,5.27
0.222,0.68,5.26
0.206,0.67,5.25
0.195,0.67,5.24
0.184,0.67,5.23
0.174,0.67,5.22
0.164,0.67,5.21
0.155,0.67,5.20
0.145,0.67,5.19
0.138,0.67,5.18
0.130,0.67,5.17
0.122,0.67,5.16
0.115,0.66,5.15
0.104,0.66,5.14
0.096,0.66,5.13
