beam_current,voltage,heater_current
4.400,0.80,6.08
3.800,0.81,6.05
3.300,0.80,6.03
2.900,0.81,6.00
2.500,0.80,5.97
2.100,0.81,5.94
1.700,0.80,5.91
1.300,0.81,5.88
0.900,0.80,5.85
0.500,0.81,5.82
0.400,0.80,5.81
0.300,0.79,5.80
0.200,0.78,5.79
0.150,0.77,5.78
0.120,0.76,5.77
0.100,0.75,5.76
0.080,0.74,5.75
0.060,0.73,5.74
0.050,0.72,5.73
0.040,0.71,5.72
0.030,0.70,5.71
0.025,0.69,5.70
0.020,0.68,5.69
0.018,0.67,5.68
0.016,0.67,5.67
0.053,0.66,5.66
0.051,0.66,5.65
0.049,0.66,5.64
0.047,0.66,5.63
0.045,0.66,5.62
0.043,0.66,5.61
0.041,0.66,5.60
0.039,0.66,5.59
0.037,0.66,5.58
0.035,0.66,5.57
0.033,0.66,5.56
0.031,0.66,5.55
0.029,0.66,5.54
0.027,0.66,5.53
0.025,0.66,5.52
0.023,0.66,5.51
0.021,0.66,5.50
0.019,0.66,5.49
0.017,0.66,5.48
0.015,0.66,5.47
0.013,0.66,5.46
0.011,0.66,5.45
0.009,0.66,5.44
0.007,0.66,5.43
0.005,0.66,5.42
0.003,0.66,5.41
0.014,0.67,5.16
0.012,0.66,5.15
0.010,0.66,5.14
