beam_current,voltage,heater_current
4.800,0.82,6.10
4.200,0.80,6.08
3.900,0.81,6.07
3.700,0.80,6.06
3.500,0.80,6.05
3.300,0.81,6.04
3.100,0.81,6.01
2.900,0.80,6.00
2.700,0.80,6.02
2.500,0.81,6.03
2.300,0.81,5.99
2.100,0.80,5.98
1.900,0.80,5.97
1.700,0.80,5.96
1.500,0.80,5.95
1.300,0.81,5.94
1.100,0.81,5.93
0.900,0.80,5.92
0.700,0.80,5.91
0.500,0.81,5.90
0.300,0.81,5.89
0.100,0.80,5.88
0.080,0.79,5.87
0.070,0.78,5.86
0.060,0.77,5.85
0.050,0.76,5.84
0.040,0.75,5.83
0.035,0.74,5.82
0.030,0.73,5.81
0.025,0.72,5.80
0.020,0.71,5.79
0.018,0.70,5.78
0.016,0.69,5.77
0.014,0.68,5.76
0.012,0.67,5.75
0.011,0.67,5.74
0.010,0.67,5.73
0.009,0.67,5.72
0.008,0.67,5.71
0.007,0.67,5.70
0.006,0.67,5.69
0.005,0.67,5.68
0.004,0.67,5.67
0.053,0.66,5.66
0.052,0.66,5.65
0.051,0.66,5.64
0.050,0.66,5.63
0.049,0.66,5.62
0.048,0.66,5.61
0.047,0.66,5.60
0.046,0.66,5.59
0.045,0.66,5.58
0.044,0.66,5.57
0.043,0.66,5.56
0.042,0.66,5.55
0.041,0.66,5.54
0.040,0.66,5.53
0.039,0.66,5.52
0.038,0.66,5.51
0.037,0.66,5.50
0.036,0.66,5.49
0.035,0.66,5.48
0.034,0.66,5.47
0.033,0.66,5.46
0.032,0.66,5.45
0.031,0.66,5.44
0.030,0.66,5.43
0.029,0.66,5.42
0.028,0.66,5.41
0.027,0.66,5.40
0.026,0.66,5.39
0.025,0.66,5.38
0.024,0.66,5.37
0.023,0.66,5.36
0.022,0.66,5.35
0.021,0.66,5.34
0.020,0.66,5.33
0.019,0.66,5.32
0.018,0.66,5.31
0.017,0.66,5.30
0.016,0.66,5.29
0.015,0.66,5.28
0.014,0.66,5.27
0.013,0.66,5.26
0.012,0.66,5.25
0.011,0.66,5.24
0.010,0.66,5.23
0.009,0.66,5.22
0.008,0.66,5.21
0.007,0.66,5.20
0.006,0.66,5.19
0.005,0.66,5.18
0.004,0.66,5.17
0.003,0.67,5.16
0.002,0.66,5.15
0.001,0.66,5.14
